customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_Fiber optic,InternetService_No,LongTermContract,tenure_group,AvgMonthlySpend,isNewCustomer,MultipleServices,LowSpender,Contract_Month-to-month,HighRiskChurn
0017-DINOC,Male,No,No,No,54,0,No,Yes,No,No,Yes,1,0,No,-0.7254611066861438,-0.21140500729555753,No,False,True,True,False,False,0,False,True,49-72,-0.24849055622098515,0,1,0,0,0
0017-IUDMW,Female,No,Yes,Yes,72,1,Yes,Yes,Yes,Yes,Yes,1,1,Yes,1.6998352742209437,2.2435918652001936,No,False,True,True,False,False,1,False,True,49-72,-0.06956841254361727,0,4,0,0,0
0018-NYROU,Female,No,Yes,No,5,1,No,No,No,No,No,0,0,Yes,0.0790191872599921,-1.0749037488213848,No,False,False,False,True,False,1,False,False,0-12,-0.18693038319148658,1,2,0,1,1
0019-EFAEP,Female,No,No,No,72,1,Yes,Yes,Yes,Yes,No,1,0,Yes,1.1748060297508338,1.7541237418773108,No,False,True,False,False,False,1,False,True,49-72,-0.11089390211242212,0,3,0,0,0
0019-GFNTW,Female,No,No,No,56,0,No,Yes,Yes,Yes,Yes,0,0,No,-0.7305420348584354,-0.17064670392726572,No,False,True,False,False,False,0,False,True,49-72,-0.2481164037930714,0,0,0,0,0
0020-INWCK,Female,No,Yes,Yes,71,1,Yes,No,Yes,Yes,No,0,1,Yes,0.9868116873760527,1.5855018710362156,No,False,True,True,False,False,1,False,True,49-72,-0.1217957970841789,0,3,0,0,0
0020-JDNXP,Female,No,Yes,Yes,34,0,No,Yes,No,Yes,Yes,1,1,No,-0.18180179225096574,-0.40274999051174276,No,True,False,False,False,True,0,False,True,25-48,-0.21599151424260268,0,2,0,0,0
0021-IKXGC,Female,Yes,No,No,1,1,Yes,No,No,No,No,0,0,Yes,0.1857186788781109,-1.1892972190484141,No,False,False,False,True,False,1,False,False,0-12,-0.18245043049544551,1,2,0,1,1
0022-TCJCI,Male,Yes,No,No,45,1,No,Yes,No,Yes,No,0,1,No,-0.13268615325214891,-0.07590565521382768,Yes,True,False,True,False,False,0,False,True,25-48,-0.20750498075849003,0,2,0,0,0
0023-HGHWL,Male,Yes,No,No,1,0,No,No,No,No,No,0,0,Yes,-1.4063054817731895,-1.2085402151138056,Yes,False,False,False,True,False,0,False,False,0-12,-0.29942697311429584,1,0,1,1,1
0023-UYUPN,Female,Yes,Yes,No,50,1,Yes,No,No,No,No,0,0,No,-1.402918196324995,-0.683984330880198,No,True,False,False,True,False,0,True,True,49-72,-0.29687340007755236,0,1,1,0,0
0023-XUOPT,Female,No,Yes,No,13,1,Yes,No,Yes,Yes,No,1,0,No,0.9309214774808473,-0.7211192190319217,Yes,False,False,False,True,False,1,False,False,13-24,-0.12916962556774333,0,3,0,1,1
0027-KWYKW,Female,No,Yes,Yes,23,1,Yes,No,No,No,No,1,0,Yes,0.5803374335927419,-0.4614001859663667,No,False,False,False,True,False,1,False,False,13-24,-0.1617117122781442,0,3,0,1,1
0030-FNXPP,Female,No,No,No,3,1,No,No,No,No,No,0,0,No,-1.5841379678033878,-1.1953976582265915,No,False,False,False,False,True,0,True,False,0-12,-0.3144431108547298,1,1,1,1,0
0031-PVLZI,Female,No,Yes,Yes,4,1,No,No,No,No,No,0,0,No,-1.5672015405624167,-1.187557160893565,Yes,False,False,False,False,True,0,True,False,0-12,-0.31439125955037744,1,1,1,1,0
0032-PGELS,Female,No,Yes,Yes,1,0,No,Yes,No,No,No,0,0,No,-1.2233920675706995,-1.2063293176935266,Yes,False,False,False,False,False,0,False,False,0-12,-0.2859871150261726,1,0,1,1,0
0036-IHMOT,Female,No,Yes,Yes,55,1,No,No,Yes,Yes,Yes,1,1,Yes,1.2561008805074962,1.0972006102407021,No,True,False,False,False,False,1,False,True,49-72,-0.10591790527141046,0,4,0,0,0
0040-HALCW,Male,No,Yes,Yes,54,1,No,No,No,No,No,0,0,No,-1.5655078978383195,-0.772297400056899,No,False,True,True,False,False,0,True,True,49-72,-0.31163161790762584,0,1,1,0,0
0042-JVWOJ,Male,No,No,No,26,1,No,No,No,No,No,0,0,Yes,-1.5926061814238734,-1.0256293961305367,No,True,False,False,False,False,0,True,True,25-48,-0.31672935452048007,0,1,1,0,0
0042-RLHYP,Female,No,Yes,Yes,69,1,No,No,No,No,No,0,0,No,-1.5892188959756792,-0.6468903852732945,No,False,True,False,False,False,0,True,True,49-72,-0.31151058143292515,0,1,1,0,0
0048-LUMLS,Male,No,Yes,Yes,37,1,No,No,No,No,No,1,1,No,0.8326901994832142,0.1108128204376996,No,True,False,True,False,False,1,False,True,25-48,-0.14344591742037915,0,4,0,0,0
0048-PIHNL,Female,No,Yes,No,49,1,No,No,No,No,No,0,0,No,-1.5638142551142222,-0.8499654075804045,No,True,False,False,False,False,0,True,True,49-72,-0.3161379077741316,0,1,1,0,0
0052-DCKON,Male,No,Yes,No,66,1,Yes,Yes,Yes,Yes,Yes,1,1,No,1.665962419739001,2.032901529556567,No,True,False,False,False,False,1,False,True,49-72,-0.062398634153008066,0,4,0,0,0
0052-YNYOT,Female,No,No,No,67,1,No,No,No,No,No,0,0,No,-1.5604269696660282,-0.6687946467519847,No,True,False,False,True,False,0,True,True,49-72,-0.311993871929144,0,1,1,0,0
0056-EPFBG,Male,No,Yes,Yes,20,0,No,Yes,No,Yes,Yes,0,0,Yes,-0.9219236626814108,-0.8808770289194907,No,False,True,True,False,False,0,False,True,13-24,-0.2591820647281935,0,0,1,0,0
0057-QBUQH,Female,No,No,Yes,43,1,Yes,No,No,No,No,0,0,Yes,-1.4063054817731895,-0.7806701504725851,No,False,True,False,True,False,0,True,True,25-48,-0.2999565799252619,0,1,1,0,0
0058-EVZWM,Female,No,Yes,No,55,1,Yes,Yes,No,No,No,1,0,Yes,0.7852682032084943,0.8117696590281989,No,False,False,False,False,False,1,False,False,49-72,-0.13746537014055218,0,3,0,1,0
0060-FUALY,Female,No,Yes,No,59,1,Yes,Yes,Yes,No,No,1,0,Yes,0.9529388328941102,1.0730035662520927,No,False,False,False,True,False,1,False,False,49-72,-0.12576552997468093,0,3,0,1,1
0064-SUDOG,Female,No,Yes,Yes,12,1,No,No,No,No,No,0,0,No,-1.568895183286514,-1.1269007807427618,No,False,True,False,False,False,0,True,True,0-12,-0.3153349532895898,0,1,1,0,0
0064-YIJGF,Male,No,Yes,Yes,27,1,Yes,No,No,No,No,0,0,Yes,0.3093545977372014,-0.42903510428617114,No,False,False,False,False,False,1,False,False,25-48,-0.18408201820573206,0,2,0,1,0
0067-DKWBL,Male,Yes,No,No,2,1,No,Yes,No,No,No,0,0,Yes,-0.5882760460342765,-1.1815181355326176,Yes,False,False,False,True,False,0,False,False,0-12,-0.24852973276205137,1,1,0,1,1
0068-FIGTF,Female,No,No,No,27,1,No,No,Yes,Yes,Yes,1,1,No,0.3923430912179608,-0.3676417583286084,No,True,False,False,False,True,0,False,True,25-48,-0.17025961271660944,0,3,0,0,0
0071-NDAFP,Male,No,Yes,Yes,25,1,Yes,No,No,No,No,0,0,No,-1.3927563399804124,-0.9606331062288155,No,False,True,True,False,False,0,True,True,25-48,-0.29911835415079074,0,1,1,0,0
0074-HDKDG,Male,No,Yes,Yes,25,1,No,Yes,Yes,Yes,No,0,0,Yes,-0.1699462931822858,-0.5592323968137134,No,True,False,False,False,False,0,False,True,25-48,-0.20151511807970918,0,1,0,0,0
0076-LVEPS,Male,No,No,Yes,29,0,No,Yes,Yes,Yes,Yes,0,0,Yes,-0.7322356775825324,-0.7101261457477565,No,False,False,False,False,True,0,False,False,25-48,-0.25526682637582965,0,0,0,1,0
0078-XZMHT,Male,No,Yes,No,72,1,Yes,No,Yes,Yes,Yes,1,1,Yes,0.6277594298674617,1.3671962220560725,No,False,True,False,False,False,0,False,True,49-72,-0.14356195223120005,0,3,0,0,0
0080-EMYVY,Female,No,No,No,14,1,No,No,Yes,No,No,0,0,No,-0.5137557661740028,-0.9208164813913832,No,True,False,True,False,False,0,False,True,13-24,-0.23250323531966632,0,1,0,0,0
0080-OROZO,Female,No,No,No,35,1,No,No,No,Yes,Yes,1,1,Yes,1.1053666780628517,0.2272738891781379,No,True,False,False,True,False,1,False,True,25-48,-0.11073563217866098,0,4,0,0,0
0082-LDZUE,Male,No,No,No,1,1,No,No,No,No,No,0,0,Yes,-0.7559466757198923,-1.2006792465083689,No,False,False,False,False,True,0,False,False,0-12,-0.251640811023191,1,1,0,1,0
0082-OQIQY,Male,No,No,No,29,1,No,No,No,No,Yes,1,1,Yes,0.9343087629290419,-0.15119899513777435,No,False,False,False,True,False,1,False,False,25-48,-0.1381057646325255,0,4,0,1,1
0083-PIVIK,Male,No,No,No,64,1,Yes,Yes,Yes,Yes,Yes,1,0,No,0.49565529738788555,1.0606798602612786,No,True,False,False,True,False,0,False,True,49-72,-0.14538387743787992,0,2,0,0,0
0089-IIQKO,Female,No,Yes,Yes,39,1,Yes,No,No,No,Yes,1,1,Yes,1.1290776762002115,0.3236526396843752,No,False,False,True,False,False,1,False,False,25-48,-0.1214732965771086,0,4,0,1,0
0093-EXYQL,Female,Yes,No,No,40,1,No,No,No,No,No,1,1,Yes,0.8445456985518939,0.28524853264323213,No,False,False,False,True,False,1,False,False,25-48,-0.13332028259552833,0,4,0,1,1
0093-XWZFY,Male,No,No,No,40,1,Yes,No,Yes,Yes,No,1,1,Yes,1.2831991640930502,0.43397232670181624,Yes,False,False,True,False,False,1,False,False,25-48,-0.1107182990283489,0,4,0,1,0
0094-OIFMO,Female,Yes,No,No,11,1,No,No,Yes,No,No,1,1,Yes,0.9614070465145959,-0.7601374642453643,Yes,False,False,False,True,False,1,False,False,0-12,-0.10841808089218084,1,4,0,1,1
0096-BXERS,Female,No,Yes,No,6,1,Yes,No,No,No,No,0,0,No,-0.5510159061041396,-1.090032019132368,No,False,False,False,True,False,0,False,False,0-12,-0.23141880232578335,1,1,0,1,1
0096-FCPUF,Male,No,No,No,30,1,Yes,Yes,No,No,No,0,1,Yes,-0.07171501518465241,-0.44563730621067377,No,False,False,False,False,True,0,False,False,25-48,-0.2052276714713358,0,2,0,1,0
0098-BOWSO,Male,No,No,No,27,1,No,No,No,No,No,0,0,Yes,-1.5993807523202621,-1.0019031914073573,No,False,False,False,True,False,0,True,False,25-48,-0.3130604094053344,0,1,1,1,1
0100-DUVFC,Male,Yes,Yes,No,70,1,Yes,No,Yes,Yes,No,1,1,Yes,1.293361020437633,1.7736533357564424,No,True,False,False,True,False,1,False,True,49-72,-0.10202639080647634,0,4,0,0,0
0103-CSITQ,Female,No,Yes,No,57,1,Yes,No,Yes,Yes,Yes,1,1,Yes,1.4491761510545689,1.341197706095384,No,True,False,False,False,False,1,False,True,49-72,-0.08887792925162458,0,4,0,0,0
0104-PPXDV,Male,No,Yes,No,58,1,No,No,No,Yes,No,0,0,No,-0.552709548828237,-0.04026516994803341,No,True,False,True,False,False,0,False,True,49-72,-0.23837474420344867,0,1,0,0,0
0106-GHRQR,Male,No,No,No,16,1,Yes,No,Yes,Yes,No,0,1,Yes,0.16200768074075148,-0.722552208100621,No,False,False,False,False,False,0,False,False,13-24,-0.17335052658161207,0,2,0,1,0
0106-UGRDO,Female,No,Yes,No,69,1,Yes,Yes,Yes,Yes,Yes,1,1,Yes,1.6727369906353897,2.1314502349382636,No,False,True,False,True,False,1,False,True,49-72,-0.06673815794097711,0,4,0,0,0
0107-WESLM,Male,No,No,No,1,1,No,No,No,No,No,0,0,Yes,-1.5841379678033878,-1.2106896987168545,Yes,False,False,False,True,False,0,True,False,0-12,-0.3124935018110823,1,1,1,1,1
0107-YHINA,Male,No,No,Yes,1,1,Yes,No,No,Yes,No,1,1,Yes,1.122303105303823,-1.177976605405689,Yes,False,False,False,True,False,1,False,False,0-12,-0.11363337935903674,1,4,0,1,1
0111-KLBQG,Male,Yes,Yes,Yes,32,1,No,No,Yes,No,No,1,1,Yes,0.9258405493085562,-0.04726634511225045,No,False,False,False,False,True,1,False,False,25-48,-0.1393425523395294,0,4,0,1,0
0112-QAWRZ,Male,No,Yes,Yes,16,1,Yes,No,No,Yes,No,1,0,Yes,0.819141057690437,-0.6283434124698427,No,False,False,False,False,False,1,False,False,13-24,-0.13755757118720052,0,3,0,1,0
0112-QWPNC,Male,No,Yes,No,49,1,Yes,Yes,No,Yes,Yes,1,1,No,0.6006611462819073,0.44318439928631215,Yes,True,False,False,True,False,0,False,True,49-72,-0.15571039538398487,0,3,0,0,0
0114-IGABW,Female,No,Yes,No,71,0,No,No,Yes,Yes,Yes,1,1,No,-0.2834203556967934,0.4786201718280063,No,False,True,False,False,False,0,False,True,49-72,-0.2165653754390071,0,2,0,0,0
0114-PEGZZ,Female,No,No,No,33,1,Yes,No,Yes,Yes,No,1,1,No,1.386511370262975,0.2737436775488173,No,False,False,False,True,False,1,False,False,25-48,-0.0869535263922938,0,4,0,1,1
0114-RSRRW,Female,No,Yes,No,10,1,No,No,No,No,No,0,0,Yes,-1.5807506823551936,-1.141947165964105,No,False,False,False,False,False,0,True,False,0-12,-0.31516902911566236,1,1,1,1,0
0115-TFERT,Male,No,Yes,No,21,1,Yes,No,Yes,Yes,Yes,1,1,Yes,1.5101472891220655,-0.2701370878398216,Yes,False,False,False,True,False,1,False,False,13-24,-0.08728106502134539,0,4,0,1,1
0117-LFRMW,Male,No,Yes,Yes,37,0,No,Yes,Yes,Yes,No,0,0,No,-0.8948253790958566,-0.625641204511724,Yes,False,False,False,False,False,0,False,False,25-48,-0.2644416368198369,0,0,1,1,0
0118-JPNOY,Female,Yes,No,No,26,1,No,Yes,No,No,No,1,0,Yes,0.6497767852807241,-0.3206806594200891,No,False,False,True,False,False,1,False,False,25-48,-0.15190921451955008,0,3,0,1,0
0121-SNYRK,Male,No,No,No,50,0,No,Yes,No,No,Yes,0,0,Yes,-1.057415080609181,-0.5027726275069584,No,True,False,False,False,True,0,False,True,49-72,-0.27484198826346595,0,0,1,0,0
0122-OAHPZ,Female,No,No,No,7,1,Yes,No,No,No,No,0,0,Yes,0.24499617422151038,-1.0094980334714638,Yes,False,False,False,True,False,1,False,False,0-12,-0.18012156619710668,1,2,0,1,1
0123-CRBRT,Female,No,Yes,Yes,61,1,Yes,Yes,Yes,Yes,Yes,1,1,No,0.7276843505891919,1.0439753019747258,No,False,True,False,False,True,0,False,True,49-72,-0.13640035207662254,0,3,0,0,0
0125-LZQXK,Male,No,No,No,15,1,No,No,No,Yes,Yes,1,1,Yes,1.1764996724749308,-0.5825901186335131,Yes,False,False,False,True,False,1,False,False,13-24,-0.10405955452342304,0,4,0,1,1
0128-MKWSG,Female,No,No,Yes,26,0,No,Yes,No,No,Yes,0,1,No,-0.7051373939969785,-0.7492058047784291,No,False,False,False,False,True,0,False,False,25-48,-0.2521002933509901,0,1,0,1,0
0129-KPTWJ,Male,No,Yes,No,72,1,No,No,No,Yes,No,1,1,Yes,0.9495515474459161,1.5437200040474244,No,False,False,False,True,False,1,False,False,49-72,-0.12865815898352942,0,4,0,1,1
0129-QMPDR,Male,No,Yes,Yes,44,1,No,No,No,No,No,0,0,Yes,-1.5621206123901252,-0.8646433098983681,No,True,False,False,False,False,0,True,True,25-48,-0.31296582005618256,0,1,1,0,0
0130-SXOUN,Male,No,No,No,66,1,Yes,No,Yes,No,No,0,1,No,0.7717190614157177,1.228278167481874,No,False,False,True,False,False,1,False,False,49-72,-0.1365082893373071,0,3,0,1,0
0133-BMFZO,Female,No,No,No,2,1,No,Yes,Yes,No,Yes,0,0,Yes,0.6650195697975984,-1.1444446611981238,Yes,False,False,False,True,False,1,False,False,0-12,-0.13584647814357373,1,2,0,1,1
0134-XWXCE,Female,Yes,No,No,44,1,No,No,No,Yes,Yes,1,1,No,0.2788690287034529,0.11920604212579589,No,True,False,False,False,False,0,False,True,25-48,-0.17703998257402717,0,3,0,0,0
0135-NMXAP,Female,No,No,No,12,1,Yes,No,Yes,No,No,1,0,Yes,0.7835745604843973,-0.7879374521781319,Yes,False,False,False,False,False,1,False,False,0-12,-0.1436241737964228,0,3,0,1,0
0136-IFMYD,Male,Yes,Yes,No,69,1,Yes,No,Yes,Yes,Yes,1,1,Yes,1.4678062210196372,1.906839434055843,No,False,True,False,True,False,1,False,True,49-72,-0.08652641920545484,0,4,0,0,0
0137-OCGAB,Female,No,No,No,1,1,Yes,No,Yes,No,No,0,0,Yes,0.46008880018184595,-1.1859808729179957,Yes,False,False,False,False,True,1,False,False,0-12,-0.16229064336326063,1,2,0,1,0
0137-UDEUO,Female,No,No,No,3,1,No,No,No,No,No,0,0,No,-1.5841379678033878,-1.1927159215408825,Yes,False,False,False,False,True,0,True,False,0-12,-0.3090090941586059,1,1,1,1,0
0139-IVFJG,Female,No,Yes,No,2,1,No,Yes,Yes,No,No,1,0,No,0.8038982731735627,-1.1408212459815557,No,False,False,False,True,False,1,False,False,0-12,-0.12483326109913943,1,3,0,1,1
0141-YEAYS,Female,Yes,No,No,27,1,Yes,No,Yes,Yes,No,0,0,Yes,0.671794140693987,-0.23576582146344674,No,False,False,False,False,False,1,False,False,25-48,-0.14056840359325898,0,2,0,1,0
0142-GVYSN,Male,No,No,No,26,1,No,No,No,No,No,0,0,Yes,-1.568895183286514,-1.0094980334714638,No,False,False,False,True,False,0,True,False,25-48,-0.3129577704131293,0,1,1,1,1
0147-ESWWR,Female,Yes,Yes,No,39,1,Yes,No,No,No,Yes,1,1,Yes,1.1731123870267368,0.3980657148946922,No,False,False,False,True,False,1,False,False,25-48,-0.10987455864968032,0,4,0,1,1
0148-DCDOS,Male,No,No,No,25,1,Yes,No,No,No,No,1,1,Yes,0.9512451901700131,-0.2517129426708298,Yes,False,False,False,False,False,1,False,False,25-48,-0.12673972985756582,0,4,0,1,0
0151-ONTOV,Female,No,No,No,1,1,No,No,No,No,No,0,0,No,0.1450712534997802,-1.1897885295862538,Yes,False,False,False,False,True,1,False,False,0-12,-0.18543706562613954,1,2,0,1,0
0156-FVPTA,Male,No,Yes,No,22,1,No,Yes,No,No,Yes,0,0,Yes,-0.4206054163486607,-0.7468720797236902,Yes,False,False,False,True,False,0,False,False,13-24,-0.23149233690286483,0,1,0,1,1
0164-APGRB,Female,No,No,No,72,1,Yes,Yes,Yes,Yes,Yes,1,1,Yes,1.635476850705253,2.2599484118557767,No,False,True,False,True,False,1,False,True,49-72,-0.06818743947103359,0,4,0,0,0
0164-XAIRP,Female,No,No,No,24,1,No,No,No,No,No,0,0,Yes,-1.5942998241479707,-1.0263049481200663,No,False,True,False,False,False,0,True,True,13-24,-0.31313645798505113,0,1,1,0,0
0168-XZKBB,Female,No,Yes,No,19,1,Yes,No,No,No,No,1,0,Yes,0.6853432824867637,-0.578311622699825,No,False,False,False,True,False,1,False,False,13-24,-0.15697233694632298,0,3,0,1,1
0174-QRVVY,Male,No,Yes,Yes,71,1,Yes,No,No,No,No,0,0,No,-1.3978372681527038,-0.4623828070420464,No,False,True,True,False,False,0,True,True,49-72,-0.2971326624417145,0,1,1,0,0
0177-PXBAT,Male,Yes,Yes,No,33,1,Yes,Yes,No,Yes,Yes,1,1,Yes,1.4661125782955402,0.2938874096002483,No,False,False,False,False,False,1,False,False,25-48,-0.08324285850264362,0,4,0,1,0
0178-CIIKR,Female,No,No,No,3,1,No,No,No,No,No,0,0,No,-1.5807506823551936,-1.1950701178680314,No,False,False,False,False,True,0,True,False,0-12,-0.31377941415902,1,1,1,1,0
0178-SZBHO,Male,No,Yes,Yes,47,1,Yes,No,Yes,No,No,1,0,No,0.6971987815554439,0.4260294730067397,No,False,False,False,True,False,1,False,False,25-48,-0.14915527378580218,0,3,0,1,1
0181-RITDD,Male,No,Yes,Yes,62,1,No,Yes,Yes,Yes,Yes,1,1,No,1.4068350829521408,1.5757780166414699,No,False,True,False,False,True,1,False,True,49-72,-0.08789572997671834,0,4,0,0,0
0186-CAERR,Male,No,No,No,71,1,Yes,Yes,Yes,Yes,Yes,1,1,Yes,1.6828988469799724,2.18332443922518,No,True,False,False,False,False,1,False,True,49-72,-0.0706111106278066,0,4,0,0,0
0187-QSXOE,Male,Yes,Yes,No,7,1,No,No,No,No,No,1,1,Yes,0.7581699196229404,-0.9709301562510407,No,False,False,False,True,False,1,False,False,0-12,-0.14662858651718053,1,4,0,1,1
0187-WZNAB,Female,No,Yes,Yes,27,1,No,Yes,No,No,No,0,0,No,0.26362624418657915,-0.41128651110670905,No,False,False,False,False,True,1,False,False,25-48,-0.18008601101697938,0,2,0,1,0
0188-GWFLE,Male,No,No,No,2,1,No,No,No,No,No,0,0,No,-1.5773633969069996,-1.2050191562592871,No,False,False,False,False,True,0,True,False,0-12,-0.3199600896378174,1,1,1,1,0
0191-EQUUH,Female,No,No,Yes,25,0,No,Yes,No,No,Yes,0,0,No,-1.069270579677861,-0.8730774741312841,No,False,True,False,False,False,0,False,True,25-48,-0.27782862339416003,0,0,1,0,0
0191-ZHSKZ,Male,Yes,No,No,30,1,No,Yes,Yes,No,No,1,1,Yes,0.27548174325525887,-0.35439684507934416,No,False,False,False,True,False,0,False,False,25-48,-0.18673957039146996,0,3,0,1,1
0193-ESZXP,Female,Yes,Yes,No,58,1,No,Yes,Yes,No,Yes,1,1,Yes,1.3170720185749927,1.3218728249403526,Yes,True,False,True,False,False,1,False,True,49-72,-0.09561058115657264,0,4,0,0,0
0195-IESCP,Male,No,Yes,No,10,1,Yes,No,No,No,No,0,1,Yes,0.6311467153156558,-0.8686352080183163,Yes,False,False,False,True,False,1,False,False,0-12,-0.14902500565776125,1,3,0,1,1
0196-JTUQI,Female,No,No,No,9,1,Yes,No,No,No,No,0,0,Yes,0.29072452777213315,-0.959302473522166,No,False,False,True,False,False,1,False,False,0-12,-0.18661236185812563,1,2,0,1,0
0196-VULGZ,Female,Yes,Yes,No,6,1,Yes,No,No,No,No,0,1,Yes,0.6006611462819073,-1.0243806485135272,Yes,False,False,False,True,False,1,False,False,0-12,-0.16490394910261796,1,3,0,1,1
0197-PNKNK,Female,No,Yes,Yes,69,1,Yes,Yes,No,Yes,No,0,0,No,0.6040484317301018,1.1757488824778375,No,True,False,False,False,False,1,False,True,49-72,-0.15093565859100838,0,2,0,0,0
0201-MIBOL,Female,Yes,No,No,66,1,Yes,Yes,No,No,No,1,1,Yes,1.212066169680971,1.4309232930683744,No,False,True,False,False,False,1,False,True,49-72,-0.1178437052724457,0,4,0,0,0
0201-OAMXR,Female,No,No,No,70,1,Yes,Yes,Yes,Yes,Yes,1,1,No,1.6574942061185154,2.1088294789252235,Yes,True,False,True,False,False,1,False,True,49-72,-0.07291914259525388,0,4,0,0,0
0203-HHYIJ,Male,No,No,No,25,1,Yes,No,No,No,No,0,0,No,-1.399530910876801,-0.9419018919736738,Yes,True,False,False,False,False,0,True,True,25-48,-0.29456373557648236,0,1,1,0,0
0206-OYVOC,Female,No,Yes,Yes,46,1,No,No,No,No,No,0,0,Yes,-1.6044616804925536,-0.8649913215293378,No,False,True,False,False,True,0,True,True,25-48,-0.3151392709757732,0,1,1,0,0
0206-TBWLC,Female,No,Yes,No,54,1,Yes,Yes,Yes,Yes,Yes,1,1,Yes,1.6270086370847674,1.258002455021181,No,True,False,False,False,True,1,False,True,49-72,-0.08307567732739855,0,4,0,0,0
0207-MDKNV,Female,No,No,No,15,1,No,Yes,No,Yes,Yes,1,1,No,1.3035228767822156,-0.5707986657253583,Yes,False,False,False,True,False,1,False,False,13-24,-0.09928093831431255,0,4,0,1,1
0208-BPQEJ,Female,No,Yes,Yes,12,1,No,No,No,No,No,0,0,No,-1.5993807523202621,-1.137709612575237,No,False,False,False,False,False,0,True,False,0-12,-0.3208104510291956,0,1,1,1,0
0212-ISBBF,Female,No,No,No,22,0,No,No,Yes,No,No,1,1,Yes,-0.5510159061041396,-0.7689196401092505,No,False,False,False,True,False,0,False,False,13-24,-0.23758439378876922,0,2,0,1,1
0214-JHPFW,Female,No,Yes,No,70,0,No,No,Yes,Yes,Yes,1,1,No,-0.2986631402136677,0.4349754190499059,No,False,True,False,False,False,0,False,True,49-72,-0.2182793855097359,0,2,0,0,0
0215-BQKGS,Male,No,No,No,30,1,No,Yes,Yes,Yes,No,0,0,Yes,0.5989675035578103,-0.22039189588354366,No,False,False,True,False,False,1,False,False,25-48,-0.15958607932824326,0,2,0,1,0
0218-QNVAS,Male,No,Yes,Yes,71,1,Yes,No,Yes,No,No,1,1,No,1.149401388889377,1.6937334882678377,No,True,False,False,False,False,1,False,True,49-72,-0.11252916566635054,0,4,0,0,0
0219-QAERP,Male,No,Yes,No,30,1,No,No,No,No,No,0,0,No,-1.5858316105274852,-0.9827216091591956,No,True,False,True,False,False,0,True,True,25-48,-0.3140573371503485,0,1,1,0,0
