customerID,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_Fiber optic,InternetService_No,MultipleLines_No phone service,MultipleLines_Yes,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,PaperlessBilling_Yes,Churn_Yes,tenure_group,AvgMonthlySpend,LongTermContract,isNewCustomer,MultipleServices,LowSpender
9763-GRSKD,No,13,49.95,587.45,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,13-24,45.18846153846154,0,0,0,1
7469-LKBCI,No,16,18.95,326.8,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,13-24,20.425,1,0,0,1
8091-TTVAX,No,58,100.35,5681.1,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,True,False,False,49-72,97.95,1,0,1,0
0280-XJGEX,No,49,103.7,5036.3,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,True,True,49-72,102.78163265306122,0,0,1,0
5129-JLPIS,No,25,105.5,2686.05,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,25-48,107.44200000000001,0,0,1,0
3655-SNQYZ,No,69,113.25,7895.15,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,49-72,114.42246376811593,1,0,1,0
8191-XWSZG,No,52,20.65,1022.95,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,49-72,19.672115384615385,1,0,0,1
9959-WOFKT,No,71,106.7,7382.25,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,True,False,True,True,False,False,49-72,103.97535211267606,1,0,1,0
4190-MFLUW,No,10,55.2,528.35,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,True,0-12,52.835,0,0,0,1
4183-MYFRB,No,21,90.05,1862.9,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,13-24,88.70952380952382,0,0,1,0
8779-QRDMV,Yes,1,39.65,39.65,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,True,0-12,39.65,0,0,0,1
1680-VDCWW,No,12,19.8,202.25,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,0-12,16.854166666666668,1,0,0,1
1066-JKSGK,No,1,20.15,20.15,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,0-12,20.15,0,0,0,1
3638-WEABW,No,58,59.9,3505.1,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,49-72,60.432758620689654,1,0,0,1
6322-HRPFA,No,49,59.6,2970.3,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False,False,49-72,60.61836734693878,0,0,0,1
6865-JZNKO,No,30,55.3,1530.6,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,25-48,51.019999999999996,0,0,0,1
6467-CHFZW,No,47,99.35,4749.15,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,25-48,101.04574468085106,0,0,1,0
8665-UTDHZ,No,1,30.2,30.2,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,0-12,30.2,0,0,0,1
5248-YGIJN,No,72,90.25,6369.45,False,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,True,True,False,49-72,88.46458333333334,1,0,0,0
8773-HHUOZ,No,17,64.7,1093.1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,True,13-24,64.3,0,0,0,1
3841-NFECX,Yes,71,96.35,6766.95,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,False,49-72,95.30915492957746,1,0,1,0
4929-XIHVW,Yes,2,95.5,181.65,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,True,True,False,0-12,90.825,0,0,1,0
6827-IEAUQ,No,27,66.15,1874.45,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,False,25-48,69.42407407407407,1,0,0,1
7310-EGVHZ,No,1,20.2,20.2,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,0-12,20.2,0,0,0,1
3413-BMNZE,Yes,1,45.25,45.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0-12,45.25,0,0,0,1
6234-RAAPL,No,72,99.9,7251.7,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,True,False,False,49-72,100.71805555555555,1,0,1,0
6047-YHPVI,No,5,69.7,316.9,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,0-12,63.379999999999995,0,0,1,1
6572-ADKRS,No,46,74.8,3548.3,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,25-48,77.13695652173914,0,0,1,1
5380-WJKOV,No,34,106.35,3549.25,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,True,True,25-48,104.38970588235294,0,0,1,0
8168-UQWWF,No,11,97.85,1105.4,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,True,0-12,100.4909090909091,0,0,1,0
8865-TNMNX,No,10,49.55,475.7,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,0-12,47.57,1,0,0,1
9489-DEDVP,No,70,69.2,4872.35,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,True,False,49-72,69.605,1,0,0,1
9867-JCZSP,No,17,20.75,418.25,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False,13-24,24.602941176470587,1,0,0,1
4671-VJLCL,No,63,79.85,4861.45,False,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,49-72,77.16587301587302,1,0,0,1
4080-IIARD,No,13,76.2,981.45,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,True,False,13-24,75.49615384615385,0,0,0,1
3714-NTNFO,No,49,84.5,3906.7,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,49-72,79.72857142857143,0,0,1,0
5948-UJZLF,No,2,49.25,97.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0-12,48.5,0,0,0,1
7760-OYPDY,No,2,80.65,144.15,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,0-12,72.075,0,0,1,1
7639-LIAYI,No,52,79.75,4217.8,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,True,True,False,49-72,81.11153846153846,1,0,0,0
2954-PIBKO,No,69,64.15,4254.1,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,True,False,49-72,61.6536231884058,1,0,0,1
8012-SOUDQ,Yes,43,90.25,3838.75,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,25-48,89.27325581395348,0,0,1,0
9420-LOJKX,No,15,99.1,1426.4,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,True,13-24,95.09333333333333,0,0,1,0
6575-SUVOI,Yes,25,69.5,1752.65,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,25-48,70.10600000000001,0,0,0,1
7495-OOKFY,Yes,8,80.65,633.3,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,True,0-12,79.1625,0,0,1,0
4667-QONEA,Yes,60,74.85,4456.35,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,True,True,False,49-72,74.27250000000001,1,0,0,1
1658-BYGOY,Yes,18,95.45,1752.55,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,13-24,97.36388888888888,0,0,1,0
8769-KKTPH,No,63,99.65,6311.2,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,False,49-72,100.17777777777778,1,0,1,0
5067-XJQFU,Yes,66,108.45,7076.35,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,True,True,True,True,False,49-72,107.21742424242424,1,0,1,0
3957-SQXML,No,34,24.95,894.3,False,True,True,False,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False,25-48,26.302941176470586,1,0,0,1
5954-BDFSG,No,72,107.5,7853.7,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,49-72,109.07916666666667,1,0,1,0
0434-CSFON,No,47,100.5,4707.1,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,25-48,100.15106382978725,0,0,1,0
1215-FIGMP,No,60,89.9,5450.7,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,49-72,90.845,0,0,1,0
0526-SXDJP,No,72,42.1,2962.0,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,49-72,41.138888888888886,1,0,0,1
0557-ASKVU,No,18,54.4,957.1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,True,False,13-24,53.172222222222224,1,0,0,1
5698-BQJOH,No,9,94.4,857.25,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,0-12,95.25,0,0,1,0
5122-CYFXA,No,3,75.3,244.1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,True,False,0-12,81.36666666666666,0,0,0,0
8627-ZYGSZ,No,47,78.9,3650.35,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,25-48,77.66702127659575,1,0,1,1
3410-YOQBQ,No,31,79.2,2497.2,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,25-48,80.55483870967741,1,0,0,0
3170-NMYVV,No,50,20.15,930.9,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False,49-72,18.618,1,0,0,1
7410-OIEDU,No,10,79.85,887.35,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,0-12,88.735,0,0,1,0
2273-QCKXA,No,1,49.05,49.05,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,0-12,49.05,0,0,0,1
0731-EBJQB,No,52,20.4,1090.65,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,True,False,49-72,20.974038461538463,1,0,0,1
1891-QRQSA,Yes,64,111.6,7099.0,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,True,True,True,True,False,49-72,110.921875,1,0,1,0
8028-PNXHQ,No,62,24.25,1424.6,False,True,False,False,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,True,True,False,49-72,22.97741935483871,1,0,0,1
5630-AHZIL,No,3,64.5,177.4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,0-12,59.13333333333333,0,0,0,1
2673-CXQEU,Yes,56,110.5,6139.5,True,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,49-72,109.63392857142857,1,0,1,0
6416-JNVRK,No,46,55.65,2688.85,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,25-48,58.45326086956521,1,0,0,1
5590-ZSKRV,No,8,54.65,482.25,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,0-12,60.28125,0,0,0,1
0191-ZHSKZ,Yes,30,74.75,2111.3,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,False,25-48,70.37666666666668,0,0,0,1
3887-PBQAO,No,45,25.9,1216.6,True,False,True,False,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,True,False,25-48,27.035555555555554,1,0,0,1
5919-TMRGD,No,1,79.35,79.35,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,0-12,79.35,0,0,1,0
8108-UXRQN,No,11,50.55,565.35,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,0-12,51.39545454545455,0,0,0,1
9191-MYQKX,No,7,75.15,496.9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,0-12,70.98571428571428,0,0,1,1
9919-YLNNG,No,42,103.8,4327.5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,25-48,103.03571428571429,0,0,1,0
0318-ZOPWS,No,49,20.15,973.35,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,49-72,19.864285714285714,1,0,0,1
4445-ZJNMU,No,9,99.3,918.75,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,False,0-12,102.08333333333333,0,0,1,0
4808-YNLEU,No,35,62.15,2215.45,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,25-48,63.29857142857142,1,0,0,1
1862-QRWPE,No,48,20.65,1057.0,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False,25-48,22.020833333333332,1,0,0,1
2796-NNUFI,No,46,19.95,927.1,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,True,False,25-48,20.15434782608696,1,0,0,1
3016-KSVCP,No,29,33.75,1009.25,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,25-48,34.80172413793103,0,0,0,1
4767-HZZHQ,No,30,82.05,2570.2,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,True,True,False,False,25-48,85.67333333333333,0,0,1,0
2424-WVHPL,Yes,1,74.7,74.7,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,0-12,74.7,0,0,1,1
7233-PAHHL,No,66,84.0,5714.25,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,True,True,True,True,False,49-72,86.57954545454545,1,0,0,0
6067-NGCEU,No,65,111.05,7107.0,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,49-72,109.33846153846154,0,0,1,0
9848-JQJTX,No,72,100.9,7459.05,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,True,False,49-72,103.59791666666666,1,0,1,0
8637-XJIVR,No,12,78.95,927.35,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0-12,77.27916666666667,0,0,1,1
9803-FTJCG,No,71,66.85,4748.7,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,True,True,True,False,49-72,66.8830985915493,1,0,0,1
0278-YXOOG,No,5,21.05,113.85,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,0-12,22.77,0,0,0,1
3212-KXOCR,No,52,21.0,1107.2,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,49-72,21.292307692307695,1,0,0,1
4598-XLKNJ,Yes,25,98.5,2514.5,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,True,25-48,100.58,0,0,1,0
6380-ARCEH,No,1,20.2,20.2,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,0-12,20.2,0,0,0,1
3679-XASPY,No,1,19.45,19.45,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False,0-12,19.45,0,0,0,1
7123-WQUHX,No,38,95.0,3605.6,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,25-48,94.88421052631578,1,0,1,0
5386-THSLQ,Yes,66,45.55,3027.25,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,49-72,45.86742424242424,1,0,0,1
3192-NQECA,No,68,110.0,7611.85,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,True,True,True,49-72,111.93897058823529,1,0,1,0
6180-YBIQI,No,5,24.3,100.2,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0-12,20.04,0,0,0,1
6728-DKUCO,No,72,104.15,7303.05,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,True,True,True,False,49-72,101.43125,1,0,1,0
9750-BOOHV,No,32,30.15,927.65,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,25-48,28.9890625,1,0,0,1
8597-CWYHH,No,43,94.35,3921.3,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,25-48,91.19302325581396,1,0,1,0
2848-YXSMW,No,72,19.4,1363.25,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,True,False,False,49-72,18.93402777777778,1,0,0,1
0486-HECZI,No,55,96.75,5238.9,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,True,True,True,49-72,95.25272727272727,0,0,1,0
4549-ZDQYY,No,52,57.95,3042.25,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,49-72,58.50480769230769,1,0,0,1
5712-AHQNN,No,43,91.65,3954.1,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,25-48,91.95581395348837,0,0,1,0
4846-WHAFZ,Yes,37,76.5,2868.15,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,25-48,77.51756756756757,0,0,1,1
5256-SKJGO,No,64,54.6,3423.5,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,49-72,53.4921875,1,0,0,1
3071-VBYPO,No,3,89.85,248.4,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,True,True,False,False,0-12,82.8,0,0,1,0
9560-BBZXK,No,36,31.05,1126.35,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,25-48,31.287499999999998,1,0,0,1
5299-RULOA,No,10,100.25,1064.65,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,0-12,106.465,0,0,1,0
8402-OOOHJ,No,41,20.65,835.15,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,25-48,20.36951219512195,1,0,0,1
9445-ZUEQE,No,27,85.2,2151.6,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,True,True,False,25-48,79.68888888888888,0,0,1,0
1091-SOZGA,No,56,99.8,5515.45,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,True,True,False,49-72,98.49017857142857,1,0,1,0
2928-HLDBA,No,6,20.7,112.75,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,0-12,18.791666666666668,0,0,0,1
0404-SWRVG,No,3,74.4,229.55,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,0-12,76.51666666666667,0,0,1,1
6497-TILVL,No,7,50.7,350.35,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,0-12,50.050000000000004,0,0,0,1
7219-TLZHO,No,4,20.85,62.9,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False,0-12,15.725,0,0,0,1
4622-YNKIJ,No,33,88.95,3027.65,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,25-48,91.7469696969697,1,0,1,0
4412-YLTKF,Yes,27,78.05,2135.5,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,25-48,79.0925925925926,0,0,1,0
6734-PSBAW,No,72,23.55,1723.95,False,True,False,False,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,True,False,49-72,23.94375,1,0,0,1
3930-ZGWVE,No,1,19.75,19.75,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,0-12,19.75,0,0,0,1
2639-UGMAZ,Yes,71,56.45,3985.35,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,49-72,56.131690140845066,1,0,0,1
2876-GZYZC,No,13,85.95,1215.65,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,13-24,93.51153846153846,0,0,1,0
6207-WIOLX,No,25,58.6,1502.65,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,True,True,25-48,60.106,0,0,0,1
8587-XYZSF,No,67,50.55,3260.1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,49-72,48.65820895522388,1,0,0,1
3091-FYHKI,No,1,35.45,35.45,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,0-12,35.45,0,0,0,1
2372-HWUHI,No,2,44.35,81.25,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,0-12,40.625,0,0,0,1
7799-LGRDP,No,43,25.7,1188.2,False,True,True,False,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,True,False,25-48,27.632558139534886,1,0,0,1
7850-VWJUU,No,23,75.0,1778.5,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,13-24,77.32608695652173,0,0,1,1
3774-VBNXY,No,64,20.2,1277.75,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False,49-72,19.96484375,1,0,0,1
6217-KDYWC,No,57,19.6,1170.55,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,49-72,20.5359649122807,1,0,0,1
